ADM_CD,ADM_NM,SGG_CD,AtRiskHouse,log_AtRisk
11150540,목4동,11150,0,0
11150570,신월1동,11150,6322,8.752
11150580,신월2동,11150,3068,8.029
11150590,신월3동,11150,0,0
11150600,신월4동,11150,3556,8.177
11150610,신월5동,11150,6570,8.79
11150620,신월6동,11150,434,6.075
11150630,신월7동,11150,794,6.678
11150640,신정1동,11150,1315,7.182
11150650,신정2동,11150,0,0
11150660,신정3동,11150,14885,9.608
11150690,신정6동,11150,1317,7.184
11150700,신정7동,11150,940,6.847
11150710,목5동,11150,48,3.892
11150720,신정4동,11150,3133,8.05
11160510,염창동,11160,8819,9.085
11160520,등촌1동,11160,3377,8.125
11160530,등촌2동,11160,4996,8.517
11160540,등촌3동,11160,11655,9.364
11160550,화곡본동,11160,4730,8.462
11160570,화곡2동,11160,1619,7.39
11160580,화곡3동,11160,6464,8.774
11160590,화곡4동,11160,1299,7.17
11160610,화곡6동,11160,8379,9.034
11160630,화곡8동,11160,2104,7.652
11160650,가양2동,11160,15806,9.668
11160660,가양3동,11160,5436,8.601
11160670,발산1동,11160,10103,9.221
11160690,공항동,11160,8456,9.043
11160700,방화1동,11160,18014,9.799
11160710,방화2동,11160,11197,9.323
11160730,화곡1동,11160,9103,9.116
11160740,우장산동,11160,9499,9.159
11160751,가양1동,11160,12400,9.426
11160761,방화3동,11160,10868,9.294
11170510,신도림동,11170,5245,8.565
11170520,구로1동,11170,4930,8.503
11170540,구로3동,11170,11141,9.318
11170550,구로4동,11170,19482,9.877
11170560,구로5동,11170,15164,9.627
11170610,고척1동,11170,5174,8.552
11170620,고척2동,11170,10236,9.234
11170640,개봉2동,11170,22636,10.027
11170650,개봉3동,11170,7794,8.961
11170670,오류1동,11170,13732,9.528
11170690,수궁동,11170,7035,8.859
11170700,가리봉동,11170,4482,8.408
11170710,구로2동,11170,15093,9.622
11170720,개봉1동,11170,16437,9.707
11170730,오류2동,11170,10974,9.303
11170740,항동,11170,1105,7.009
11180510,가산동,11180,6597,8.795
11180520,독산1동,11180,10447,9.254
11180530,독산2동,11180,916,6.821
11180540,독산3동,11180,5324,8.58
11180550,독산4동,11180,1677,7.425
11180570,시흥1동,11180,6156,8.725
11180580,시흥2동,11180,0,0
11180590,시흥3동,11180,497,6.211
11180600,시흥4동,11180,0,0
11180610,시흥5동,11180,0,0
11190540,여의동,11190,8092,8.999
11190550,당산1동,11190,9059,9.112
11190560,당산2동,11190,10871,9.294
11190610,양평1동,11190,9582,9.168
11190620,양평2동,11190,4926,8.502
11190630,신길1동,11190,3952,8.282
11190650,신길3동,11190,2567,7.851
11190660,신길4동,11190,4755,8.467
11190670,신길5동,11190,5008,8.519
11190680,신길6동,11190,8619,9.062
11190690,신길7동,11190,10046,9.215
11190700,대림1동,11190,7361,8.904
11190710,대림2동,11190,6025,8.704
11190720,대림3동,11190,13027,9.475
11190730,영등포본동,11190,10421,9.252
11190740,영등포동,11190,19396,9.873
11190750,도림동,11190,2650,7.883
11190760,문래동,11190,8976,9.102
11200520,노량진2동,11200,1343,7.203
11200530,상도1동,11200,5291,8.574
11200540,상도2동,11200,6492,8.778
11200550,상도3동,11200,4981,8.514
11200560,상도4동,11200,6601,8.795
11200630,사당1동,11200,16509,9.712
11200650,사당3동,11200,6339,8.755
11200660,사당4동,11200,0,0
11200670,사당5동,11200,0,0
11200680,대방동,11200,10471,9.256
11200690,신대방1동,11200,5176,8.552
11200700,신대방2동,11200,15410,9.643
11200710,흑석동,11200,1678,7.426
11200720,노량진1동,11200,1878,7.538
11200730,사당2동,11200,16785,9.728
11210520,보라매동,11210,10573,9.266
11210540,청림동,11210,0,0
11210570,행운동,11210,8746,9.076
11210580,낙성대동,11210,9513,9.161
11210610,중앙동,11210,14075,9.552
11210620,인헌동,11210,1440,7.273
11210630,남현동,11210,8699,9.071
11210640,서원동,11210,9602,9.17
11210650,신원동,11210,1100,7.004
11210660,서림동,11210,477,6.17
11210680,신사동,11210,11049,9.31
11210690,신림동,11210,15192,9.629
11210710,난향동,11210,0,0
11210720,조원동,11210,9241,9.132
11210730,대학동,11210,307,5.73
11210780,은천동,11210,17015,9.742
11210790,성현동,11210,4623,8.439
11210800,청룡동,11210,13933,9.542
11210810,난곡동,11210,4307,8.368
11210820,삼성동,11210,307,5.73
11210830,미성동,11210,9415,9.15
11220510,서초1동,11220,1885,7.542
11220520,서초2동,11220,9951,9.206
11220530,서초3동,11220,63,4.159
11220540,서초4동,11220,6207,8.734
11220550,잠원동,11220,11294,9.332
11220560,반포본동,11220,5848,8.674
11220570,반포1동,11220,15070,9.621
11220580,반포2동,11220,11907,9.385
11220590,반포3동,11220,13941,9.543
11220600,반포4동,11220,11900,9.384
11220610,방배본동,11220,14338,9.571
11220620,방배1동,11220,8361,9.031
11220630,방배2동,11220,15709,9.662
11220640,방배3동,11220,7923,8.978
11220650,방배4동,11220,23926,10.083
11220660,양재1동,11220,10363,9.246
11220670,양재2동,11220,5504,8.613
11220680,내곡동,11220,1010,6.919
11230510,신사동,11230,1498,7.313
11230511,개포3동,11230,8410,9.037
11230520,논현1동,11230,203,5.318
11230530,논현2동,11230,4768,8.47
11230580,삼성1동,11230,2756,7.922
11230590,삼성2동,11230,7186,8.88
11230600,대치1동,11230,8808,9.084
11230630,대치4동,11230,4421,8.394
11230640,역삼1동,11230,7041,8.86
11230650,역삼2동,11230,5325,8.58
11230660,도곡1동,11230,9955,9.206
11230670,도곡2동,11230,9468,9.156
11230680,개포1동,11230,7736,8.954
11230710,개포4동,11230,10614,9.27
11230720,일원본동,11230,3934,8.278
11230730,일원1동,11230,5018,8.521
11230750,수서동,11230,10689,9.277
11230760,세곡동,11230,2468,7.812
