ADM_CD_2025,ADM_NM,SGG_CD,total_damage_count,log_total_damage_count,total_F_AREA,log_total_F_AREA,total_area_depth,log_total_area_depth,n_damage_years,area_depth_evenness,max_year_share_area_depth,cluster_id,cluster_label,cluster_number_label
11040590,금호1가동,11040,3,1.3862943611198906,179.20000000000002,5.194067345174238,53.76,4.002960000420248,3,0.939817719958583,0.42633928571428575,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11040620,금호4가동,11040,5,1.791759469228055,561.4,6.332213340496455,181.24,5.205324499698872,3,0.9731278490717772,0.4094018980357536,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11040650,성수1가1동,11040,4,1.6094379124341003,639,6.461468176353717,158.7,5.073297055220967,3,0.6329265613968869,0.771266540642722,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11040660,성수1가2동,11040,5,1.791759469228055,665.1,6.501439809419134,249.95,5.525253716100942,3,0.8793947671988264,0.5043008601720345,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11040670,성수2가1동,11040,23,3.1780538303479458,3023.2,8.014401872678569,976.02,6.884507122662327,3,0.5313351646737421,0.7992868998586095,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11040680,성수2가3동,11040,9,2.302585092994046,1684.5,7.4298175346741155,621.87,6.434337829276554,4,0.8023910347830915,0.48120989917506873,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11040690,송정동,11040,10,2.3978952727983707,1248.3,7.130338673437784,416.09,6.0333020258495615,4,0.6780220533139573,0.689970919752938,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11040700,용답동,11040,66,4.204692619390966,8285.2,9.022346759444773,2733.4,7.913667312361326,4,0.925052837541559,0.3299041486793005,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11040710,왕십리도선동,11040,13,2.6390573296152584,1706.5,7.442785591444945,484.96999999999997,6.1861468936001565,3,0.9303574768527724,0.5052683671154917,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11040720,금호2·3가동,11040,10,2.3978952727983707,1239.9,7.123592201780574,385.53,5.957209484678875,3,0.9626643021841313,0.4265815889814022,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11040730,옥수동,11040,1,0.6931471805599453,202,5.313205979041787,101,4.624972813284271,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11050530,화양동,11050,116,4.762173934797756,17594.3,9.775387099908711,6045.2699999999995,8.707196831967158,1,0,1,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11050540,군자동,11050,24,3.2188758248682006,3765.5,8.23390146726575,1245.73,7.12827940258912,1,0,1,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11050550,중곡1동,11050,44,3.8066624897703196,9330.1,9.141108186141551,3131.79,8.04967926029841,1,0,1,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11050560,중곡2동,11050,51,3.9512437185814275,8264.2,9.01980920838945,2732.52,7.913345434935323,1,0,1,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11050570,중곡3동,11050,34,3.5553480614894135,4990.7,8.515531812089572,1644.6499999999999,7.40589072193161,1,0,1,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11050580,중곡4동,11050,38,3.6635616461296463,7440.4,8.91481428216801,2403.5,7.785097260717717,1,0,1,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11050590,능동,11050,74,4.31748811353631,15547.3,9.65170658687215,5008.13,8.519017526304925,1,0,1,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11050600,구의1동,11050,146,4.990432586778736,26793.36924426,10.195947041598139,9468.243848852,9.155804335986057,2,0.043854078191277956,0.9952035615498531,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11050610,구의2동,11050,84,4.442651256490317,20346.3,9.92070350393554,7532.65,8.927134931107036,2,0.07101567632808332,0.9914505519305955,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11050620,구의3동,11050,23,3.1780538303479458,6883,8.83695515733143,2361.34,7.767407932206741,1,0,1,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11050630,광장동,11050,23,3.1780538303479458,4712,8.45807992692373,1569.2,7.358958278764155,1,0,1,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
